Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-07-23 00:00:00-04:00,14.133049691121519,14.791653204277436,14.06677519332445,14.729521751403809,2365200,0.0,0.0
2009-07-24 00:00:00-04:00,14.679821185623702,14.775090719586382,14.414723077186787,14.754380226135254,2149400,0.0,0.0
2009-07-27 00:00:00-04:00,14.795800525218967,14.820652481507219,14.435431357948065,14.700531005859375,1566400,0.0,0.0
2009-07-28 00:00:00-04:00,14.588692543043923,14.866216590527486,14.497564489191229,14.808226585388184,2394800,0.0,0.0
2009-07-29 00:00:00-04:00,14.746093534105139,15.027760627732443,14.621829011648183,14.808226585388184,2921600,0.0,0.0
2009-07-30 00:00:00-04:00,14.928346384508592,15.412978390378807,14.903492853396484,15.123026847839355,4169000,0.0,0.0
2009-07-31 00:00:00-04:00,15.16444792148139,15.301138379001603,15.03604039341568,15.094030380249023,2095000,0.0,0.0
2009-08-03 00:00:00-04:00,15.160308894918279,15.25972145591683,14.9242058401694,15.168593406677246,3583800,0.0,0.0
2009-08-04 00:00:00-04:00,15.098181726093763,15.305289838714776,14.973917174543054,15.197592735290527,2196000,0.0,0.0
2009-08-05 00:00:00-04:00,15.168594279669378,15.2141583069115,14.853790715256125,15.060898780822754,1910200,0.0,0.0
2009-08-06 00:00:00-04:00,15.044333745100126,15.197593311823034,14.903500159970825,14.990485191345215,2212800,0.0,0.0
2009-08-07 00:00:00-04:00,15.156167488231361,15.6822221361605,15.060897972795084,15.412981033325195,3428600,0.0,0.0
2009-08-10 00:00:00-04:00,15.383986315788356,15.4958248568695,15.255580330928183,15.4544038772583,3314200,0.0,0.0
2009-08-11 00:00:00-04:00,15.408839881591957,15.545530378662063,15.234868290646537,15.31771183013916,2189800,0.0,0.0
2009-08-12 00:00:00-04:00,15.301141490124403,15.827196103529674,15.288715513307483,15.591093063354492,4366400,0.0,0.0
2009-08-13 00:00:00-04:00,15.160304394385458,15.740207404489011,15.131309401891137,15.657363891601562,5414000,0.0,0.0
2009-08-14 00:00:00-04:00,15.487540748039367,15.56209977736744,14.837221554540495,14.944918632507324,5554800,0.0,0.0
2009-08-17 00:00:00-04:00,14.746092387714349,14.758519945070294,14.456142384559126,14.497563362121582,5614000,0.0,0.0
2009-08-18 00:00:00-04:00,14.526556310854582,14.60111532402426,14.356727798658936,14.431286811828613,4781200,0.0,0.0
2009-08-19 00:00:00-04:00,14.344303849009677,14.543127385505692,14.30288129133821,14.497563362121582,3113200,0.0,0.0
2009-08-20 00:00:00-04:00,14.472707430002856,14.696384464047922,14.149619434232482,14.654963493347168,4688400,0.0,0.0
2009-08-21 00:00:00-04:00,14.729520976032477,14.944913477561721,14.576259924106221,14.845500946044922,3046200,0.0,0.0
2009-08-24 00:00:00-04:00,14.841367443355324,14.978057969898753,14.700533869883937,14.750239372253418,1502400,0.0,0.0
2009-08-25 00:00:00-04:00,14.795797336379106,15.027757305658668,14.71709527813744,14.886923789978027,1736600,0.0,0.0
2009-08-26 00:00:00-04:00,14.853789444048525,14.957343467969544,14.787514931943432,14.87035846710205,2023800,0.0,0.0
2009-08-27 00:00:00-04:00,14.903497482106141,15.056757021291332,14.766806968808343,15.015336036682129,1580000,0.0,0.0
2009-08-28 00:00:00-04:00,15.326001298061065,15.39641730232928,15.04019265350425,15.14788818359375,3224000,0.0,0.0
2009-08-31 00:00:00-04:00,15.023622976370387,15.077471529147857,14.79994583108816,14.849651336669922,1701600,0.0,0.0
2009-09-01 00:00:00-04:00,14.741952668724993,14.978055745045866,14.348447014820474,14.373300552368164,2838800,0.0,0.0
2009-09-02 00:00:00-04:00,14.38158828585823,14.38158828585823,13.954944486336792,14.083352088928223,4965600,0.0,0.0
2009-09-03 00:00:00-04:00,14.079206553832373,14.149622535478843,13.727121905272751,13.950798988342285,3589400,0.0,0.0
2009-09-04 00:00:00-04:00,13.971509445585818,14.340161537130268,13.942514443786305,14.323594093322754,2149600,0.0,0.0
2009-09-08 00:00:00-04:00,14.348447243433846,14.493423844608152,14.286315768738474,14.360873222351074,2239400,0.0,0.0
2009-09-09 00:00:00-04:00,14.302881207714824,14.601117300769682,14.008788160457396,14.203470230102539,4222800,0.0,0.0
2009-09-10 00:00:00-04:00,14.182758374013428,14.373297379490346,14.149620331265,14.282169342041016,4610200,0.0,0.0
2009-09-11 00:00:00-04:00,14.29874154890613,14.344305577781604,14.128912992257945,14.18690299987793,3303800,0.0,0.0
2009-09-14 00:00:00-04:00,14.095770942534294,14.365011993070592,14.03778095136863,14.340158462524414,2260800,0.0,0.0
2009-09-15 00:00:00-04:00,14.294589616262684,14.551404604799378,14.273879137860233,14.46027660369873,3127800,0.0,0.0
2009-09-16 00:00:00-04:00,14.460284894345442,14.71709845001517,14.41886391379227,14.700531005859375,2414200,0.0,0.0
2009-09-17 00:00:00-04:00,14.69638234312208,14.936628362819556,14.609397369138588,14.671528816223145,2534000,0.0,0.0
2009-09-18 00:00:00-04:00,14.82065166189906,15.396411792336846,14.73366665948235,15.23901081085205,6334800,0.0,0.0
2009-09-21 00:00:00-04:00,15.077467953130878,15.280432974515154,15.011193434704092,15.226584434509277,3663200,0.0,0.0
2009-09-22 00:00:00-04:00,15.263866425091036,15.537249055447283,15.1188913863072,15.458548545837402,4366800,0.0,0.0
2009-09-23 00:00:00-04:00,15.512393910930466,15.702932945687142,15.284575362407566,15.31771183013916,3808400,0.0,0.0
2009-09-24 00:00:00-04:00,15.441973607622216,15.470968604280248,14.928346598158075,14.969767570495605,3020000,0.0,0.0
2009-09-25 00:00:00-04:00,14.94905747849423,15.172734527275814,14.828934443395731,14.841361999511719,1738400,0.0,0.0
2009-09-28 00:00:00-04:00,14.92006523303308,15.276291358625146,14.882785718026721,15.060898780822754,1510800,0.0,0.0
2009-09-29 00:00:00-04:00,15.139593275827085,15.37155478615549,15.114741329079822,15.205867767333984,1883400,0.0,0.0
2009-09-30 00:00:00-04:00,15.23072426937397,15.404694251022349,14.94491576519071,15.359131813049316,2093000,0.0,0.0
2009-10-01 00:00:00-04:00,15.263860320166097,15.330134822832942,14.870356349392903,14.886923789978027,3480600,0.0,0.0
2009-10-02 00:00:00-04:00,14.8123690368823,15.176879696434662,14.746094515155438,15.05261516571045,3431400,0.0,0.0
2009-10-05 00:00:00-04:00,15.056759155503858,15.23073079176245,14.91178410871295,15.197592735290527,2818200,0.0,0.0
2009-10-06 00:00:00-04:00,15.25143904673182,15.55381665712937,15.247297580335918,15.29286003112793,3062800,0.0,0.0
2009-10-07 00:00:00-04:00,15.599375767365323,15.98459680515028,15.582806746789702,15.97217082977295,4724200,0.0,0.0
2009-10-08 00:00:00-04:00,16.07987308822023,16.535510285545126,16.050878080032795,16.373966217041016,4172200,0.0,0.0
2009-10-09 00:00:00-04:00,16.36981787438793,16.45266139731644,16.21655838404089,16.436092376708984,1784200,0.0,0.0
2009-10-12 00:00:00-04:00,16.137864455991682,16.332546595932506,16.001173917391423,16.04259490966797,3860400,0.0,0.0
2009-10-13 00:00:00-04:00,15.97631790718614,16.07573048545376,15.831342876493075,15.955607414245605,2563800,0.0,0.0
2009-10-14 00:00:00-04:00,16.050878131717646,16.15443218418034,15.885191015733557,16.088157653808594,2012400,0.0,0.0
2009-10-15 00:00:00-04:00,16.03016963807356,16.208282756949572,15.810633944976592,16.204139709472656,1390600,0.0,0.0
2009-10-16 00:00:00-04:00,17.177539426959807,17.662171428043415,16.92072434833089,17.02842140197754,9920600,0.0,0.0
2009-10-19 00:00:00-04:00,17.32666425230348,17.392938780517134,17.073992119704744,17.272815704345703,3303800,0.0,0.0
2009-10-20 00:00:00-04:00,17.397077947345164,17.47992149168769,17.173400851653092,17.359798431396484,2724400,0.0,0.0
2009-10-21 00:00:00-04:00,17.252102792106996,17.894137490445264,17.252102792106996,17.529626846313477,5475400,0.0,0.0
2009-10-22 00:00:00-04:00,17.658037189074772,17.827865769223063,17.450929087425184,17.70774269104004,2607400,0.0,0.0
